a,e,inc_rad
6.234740772489859410e+03,5.922241497750253547e-01,7.242069418079609688e-01
1.074925633942212517e+04,3.467931442490368443e-01,4.745892514883771063e-01
9.244110282956338779e+03,9.893778523139339365e-01,4.879815463873688614e-02
3.358803371811979105e+03,9.267068155680477926e-01,6.554529577082880420e-01
2.541980214113678812e+03,9.824701081520679224e-01,1.280609679836469006e+00
1.023705738253321397e+04,3.793874703416807437e-01,8.098832579548581601e-01
2.255646883813654858e+04,8.194293300563316729e-01,1.458012829770521046e+00
8.127118425859530362e+03,6.246632233710911475e-01,3.381956487241029839e-03
2.442871210074127157e+04,4.726217541384202248e-01,1.491062912942477725e+00
4.639142793977756810e+03,9.288051308622419233e-01,4.496912690081056874e-01
2.543899085185829335e+03,9.843749938836185986e-01,1.642655058136893997e-01
2.153575911409582113e+04,9.772473948869697669e-01,1.480024885315114336e+00
3.777169502370199552e+03,4.392980746693671001e-01,3.359761536340001298e-01
9.363865515666137071e+03,9.689782621631987114e-01,3.676696531315141736e-01
1.777234941201628681e+04,8.639566167001170305e-01,3.980809417770398984e-01
9.380093055309916963e+03,9.937597436077542090e-01,6.832392122908899079e-01
1.209406638817261774e+04,9.729660585383848037e-01,1.568894827265587544e-01
1.837519278229180782e+04,9.102281185146517961e-01,1.224234131816546167e+00
1.264262603635004416e+04,6.369940542656991056e-01,1.208304558167509812e+00
1.478590081038473363e+04,7.569819415558320941e-02,6.836566457185934143e-01
8.925692289873113623e+03,9.951767634586352607e-01,1.429374241242785948e-01
3.621092178132376375e+03,9.870605895721537015e-01,1.131878469909135543e-01
1.291134006766334278e+04,9.974479964069884463e-01,1.225336570530235925e+00
1.254415940672504439e+04,6.712054492231491754e-01,5.887144396007462088e-01
1.703126345013446917e+04,9.855170723757129547e-01,6.151202892961094015e-01
1.285703233473410728e+04,9.942894284001226879e-01,9.016261373014088365e-01
2.726831655010768827e+03,1.693844910741530985e-01,8.277481832918404114e-01
1.353053464392465503e+04,6.112820211127553138e-01,3.990127217528962288e-03
3.872768939673737350e+03,9.653721480902127672e-01,1.181105021277061073e+00
7.680962101560496194e+03,9.504227307303410033e-01,6.291311560360515198e-01
1.096728348011369781e+04,9.978350246216606267e-01,1.194583343355165805e+00
2.686943761340547280e+04,9.899708055816139884e-01,1.202095140270041940e+00
3.087781497900460454e+04,2.319110611306518521e-03,4.659326950049706983e-01
3.278424716942584200e+04,9.808740324981741754e-01,1.528764637147500993e+00
9.738333674984200115e+03,9.972544948320436475e-01,1.291140316101546670e+00
1.829911196779500824e+04,9.163152693023716155e-01,6.253126296850616828e-02
9.819696579288012799e+03,9.971658292101260868e-01,7.535444238005318818e-01
8.368231439523480731e+03,9.985992450478494709e-01,8.001636162693710475e-01
1.242546726796567600e+04,9.977293697243803106e-01,2.836117923515120709e-01
4.120209347690198229e+03,2.648142455769120218e-01,6.169875228553427515e-01
1.080510270884345482e+04,9.442990264769672848e-01,7.400575273317359093e-01
4.190682282453573862e+03,9.607409750948829874e-01,2.487576982379751389e-01
9.173307296888704514e+03,1.553395116155948941e-01,4.917271299649701444e-01
2.953590702303852595e+03,8.395728741484137503e-01,8.414661700539162181e-01
1.037945905036322074e+04,9.967841663802807783e-01,1.089647763624439047e+00
4.319529435158628985e+03,9.864463688609198533e-01,5.945938246197499666e-01
1.618634297897858232e+04,2.022162203606456821e-01,1.380629605177744024e+00
4.296707350366630635e+03,9.951952902823907321e-01,1.269895566455197189e+00
2.779347563079746396e+04,9.204818118011051098e-01,1.503798285617074182e+00
3.847544282093522725e+03,7.758271325781580519e-01,8.541051698688523208e-01
1.068288869733972024e+04,8.098132716783754681e-01,1.183258299447992989e+00
5.404261289358689282e+03,5.676748348113074272e-01,8.259278097466058455e-01
6.160036396605630216e+03,9.948124611563994302e-01,4.805245486039510516e-01
4.364231163769045452e+03,9.652547127821862194e-01,4.566292931761329332e-01
4.947804131176706505e+03,8.717707089654607167e-01,7.565892802809777266e-03
1.559168952088788683e+04,2.206610204086993932e-01,7.551542438752700814e-01
8.767058016933711770e+03,9.781794153822606086e-01,2.805562229467694624e-01
3.965093371174298682e+03,9.246719141302400802e-01,1.411772830702028747e+00
5.379709529524632671e+03,9.929434509530573605e-01,1.223110662182840036e+00
4.805860182677445664e+03,9.937775341615394664e-01,7.841695037210749675e-01
3.570602889730595052e+03,8.113261444932607924e-01,8.422091818300969646e-01
6.907073123488676174e+03,9.714930301956870018e-01,1.210528556441246684e+00
1.198534208876460070e+04,9.638841429845105280e-01,9.988198097679579224e-01
7.693959292890612232e+03,2.788565369361372115e-01,7.357589915578589546e-01
2.728870774480082400e+04,9.669615435134372161e-01,9.183052431828315765e-01
2.482371900644756533e+04,9.843621098772125100e-01,1.354114989012206394e+00
2.668370940122016691e+04,7.698858153248042679e-01,3.810093329362205239e-01
1.249922346082709737e+04,4.196445274209390508e-01,2.756848365896670261e-01
2.873595567114094956e+04,9.913905031193842587e-01,1.265507526710300645e+00
7.691674659069808513e+03,9.984939866895882199e-01,1.267095288852039481e+00
4.380546965909798928e+03,9.732836703260286937e-01,8.441761186157985541e-01
1.248142792282518712e+04,9.886936809594677467e-01,1.374591047219220430e+00
9.782852399680306917e+03,9.946755043831665422e-01,8.635195496690595274e-01
1.586385008192762689e+04,9.744808699725058254e-01,9.787705799000742113e-01
1.052029664810974100e+04,9.555836372186294891e-01,3.552353768890023633e-01
1.017603040536753906e+04,5.620816736165769045e-01,1.207357445082808622e+00
1.061678795568575333e+04,9.987042450627208190e-01,1.369551396944623356e+00
2.062941075513942997e+04,9.984968858132956537e-01,2.063735254412676634e-01
3.767378699870318087e+03,9.523146329968021906e-01,7.174077682302004710e-01
2.202116934366206624e+04,3.581685588053223901e-01,1.095708349898796063e+00
9.351531298865644203e+03,9.926617083949567100e-01,9.917648170391909490e-01
4.169065140208123921e+03,4.030863794718908544e-01,8.920637190572622277e-03
3.251749062436995700e+03,2.133750647669854228e-01,1.535956843052974419e+00
7.474768789475235280e+03,8.793240495463814366e-01,1.312565892285502800e+00
4.145916402989907510e+03,9.641895436208209880e-01,1.422244791512022211e+00
2.845079014864928467e+04,7.523599836439768263e-01,5.703139808353054896e-01
2.842117515303392429e+04,6.096744979830949207e-01,4.271829573647298872e-01
4.764550079946428013e+03,4.169132169868076110e-01,9.349561074488098589e-01
1.593534482037160342e+04,9.977829660444357263e-01,6.503905083832683953e-01
7.091753900741622601e+03,9.345261404517992698e-01,8.236833022872585008e-01
1.219553706047836749e+04,9.925268538213951608e-01,1.335021027543195293e+00
8.209226095236759647e+03,9.820771465340601969e-01,8.218748884994997450e-01
1.567268931087348938e+04,9.983361343295027446e-01,6.500411287620296852e-01
1.504367546326696720e+04,9.982474710060638134e-01,3.019671079847730533e-01
3.126883493275178807e+03,9.306480481679004768e-01,1.306507038981496116e+00
1.809172404076503517e+04,9.983903386590582407e-01,3.300551508266491019e-01
3.793196882979222210e+03,9.932560272108907906e-01,8.943299765897981812e-01
2.860103041507149101e+04,9.678878678447386807e-01,3.209882030810842779e-01
1.949219298628567412e+04,9.941025586484071308e-01,1.350594436796735076e+00
1.685770499106503121e+04,9.348367111018976994e-01,1.445954566653282036e+00
6.670944191486189084e+03,9.421372991807985819e-02,2.468266150009073012e-01
1.046454916724974282e+04,9.989493913460804064e-01,6.634516111164143748e-01
1.182964205124869477e+04,9.733973043129392488e-01,1.355299247012620389e+00
6.118793983226893033e+03,4.309521995658294191e-02,6.992811002023290312e-01
5.623511610540801485e+03,9.895157156233012063e-01,4.221936208001673130e-01
3.321188076213808017e+03,9.923488750844171591e-01,5.606609809100345787e-01
8.742195842612363776e+03,9.907888620760607612e-01,5.237645222690553437e-01
5.544461496520146284e+03,5.926801230176330648e-01,3.855783612157642065e-02
2.325084574277039064e+04,8.729351322190763707e-01,1.522349004494587321e+00
4.179594103377711690e+03,9.916077581858548928e-01,4.322992559725362116e-01
6.823874202336754934e+03,2.513860967215776343e-01,6.941889186752260299e-01
1.871295611804620057e+04,9.971396020879423894e-01,1.237877664295834873e-01
1.288330750064087078e+04,3.228396474010198913e-01,4.211319023002891293e-01
1.502409645275166622e+04,9.698265895981745821e-01,9.660767996712403827e-01
1.202037771690324917e+04,8.507445118983323340e-01,1.128297421232481001e+00
5.342542703071211690e+03,9.930034123433583160e-01,1.431110496889363537e+00
2.559280713046531673e+03,8.356999494902914716e-01,1.321366824725497269e+00
5.329076260405859102e+03,9.704564661724698338e-01,1.215838046069117828e+00
2.290365572597809660e+04,6.277952806854700807e-01,1.114120417301671662e+00
3.957445047206118943e+03,9.962406643076453516e-01,1.557366516147925539e+00
3.920791779979162129e+03,6.699553676242315792e-01,8.768668349237612736e-01
5.970983825153369253e+03,9.710904112268156085e-01,1.183364324399658607e-01
1.722220292180424804e+04,9.969286563608855678e-01,9.390404161033529817e-01
4.741500167495197275e+03,9.575668187438386436e-01,1.549833707726693266e-01
1.825727107499454360e+04,9.735711888345915943e-01,1.105851126415433816e+00
5.942872779424777946e+03,9.970232826388909508e-01,1.016116101666250549e+00
7.843692922565252047e+03,5.075458635765113247e-01,1.123605599838599645e-01
1.108349218262505565e+04,9.357007078374737219e-01,2.796760995908931235e-01
2.073545498374492308e+04,9.728804150094518821e-01,7.059831455594690608e-01
4.864834024533202864e+03,9.917110784354733477e-01,2.551287341712862172e-02
2.186289991248503065e+04,9.890278446478737440e-01,1.396608161707293405e+00
1.015159186977908757e+04,9.976783428534207188e-01,1.430615118629013693e+00
5.725836280151031133e+03,1.116623601606112626e-01,6.615937354025178685e-01
2.229327576552778555e+04,9.978464445504667824e-01,8.143531220489902411e-01
1.701120112679697922e+04,9.912777384017811277e-01,9.261877444023215444e-01
2.618081812088759762e+03,4.437882943071589370e-01,1.098387559329369267e+00
2.744949805863304937e+04,9.983561279627616303e-01,1.219417255786289012e+00
3.070088273876612220e+04,9.867981701457931853e-01,7.101650027059929204e-01
1.343968723277648678e+04,9.944776402154328343e-01,5.801144264762808644e-01
8.234234264580651143e+03,8.526605131744841026e-01,1.229974016794762731e-01
9.345286816353929680e+03,3.233933136167331801e-01,6.608649717977870264e-01
2.664728985235452274e+04,9.888015904243588894e-01,9.637603711105892090e-01
7.124428281875144421e+03,9.878021972618593605e-01,1.376791613043646612e+00
8.292966013297667814e+03,9.976423024477051316e-01,4.513324856728259671e-01
2.221524443492998034e+04,9.830315294512784741e-01,5.921234856557772153e-01
8.423093198197317179e+03,9.700860680536510516e-01,1.185278571836354766e+00
1.900515113988164376e+04,5.424828484066475109e-01,1.042105953611812907e+00
2.809513852043121005e+04,9.989450166430752232e-01,3.141923400914249931e-01
1.007521354493609942e+04,9.078956124786775606e-01,9.801515355168221033e-01
1.479807559280534588e+04,9.905264269705850166e-01,4.110287810017622112e-01
3.717027537212911284e+03,9.684796834717777081e-01,4.958201941696344650e-01
2.788202406050969785e+03,9.848969975049659542e-01,9.465333919500447113e-01
2.381657790622641915e+04,7.599732561973875367e-01,1.065095689303458881e+00
6.874854136345221377e+03,8.734774924787817030e-01,7.684261125098187373e-01
1.401532106100506826e+04,9.874638169311044100e-01,1.932414339952463755e-01
3.002710879594658763e+04,9.972276969738664842e-01,9.657490078958554935e-01
3.028919203853753970e+03,9.668315193990455469e-01,6.707552943351277053e-01
5.141044785505951950e+03,9.162413540330427431e-01,1.052784408983743036e+00
5.931202148644860245e+03,9.949777275930424825e-01,1.412254413503734485e+00
2.983255711113699726e+04,9.965857795688966014e-01,9.290820722201060811e-01
1.889796027526012404e+04,7.049880329847316718e-01,3.773106221655802561e-01
3.663975732297895775e+03,9.947247472147715541e-01,1.042691083963143139e+00
3.095335330032135516e+03,9.498673687505465590e-01,1.435393729301147614e+00
2.364182379480428790e+04,9.989209475103035807e-01,7.374397471960759676e-01
1.550736538600433232e+04,9.978799178413838566e-01,1.002065404368051249e+00
1.994607623764012533e+04,3.770338065844851538e-01,1.272029309053074542e+00
1.302165963300229305e+04,9.887503423304009331e-01,8.673317402465015036e-01
6.616848795025006439e+03,9.393735894659680508e-01,4.287637693398159144e-01
4.416228162471742507e+03,9.927113991039837604e-01,1.930548725185295134e-01
2.068625010507562911e+04,9.989873392502919280e-01,5.123167151811862663e-01
7.982414578742882441e+03,9.517081180787776429e-01,8.990997120214280214e-01
8.189708452197383849e+03,9.977774177057766591e-01,1.472835779178953419e-02
6.308787847827520636e+03,6.745788042848368526e-01,1.250685019988027058e+00
3.707518445837089530e+03,9.898216012560625554e-01,1.536583517252252618e+00
2.819815553834625916e+03,9.409622655307121608e-01,7.213428521316058717e-01
6.571675061963970620e+03,9.430260414723324880e-01,1.099456295363273120e-02
1.819188288205086792e+04,9.963943383518816255e-01,3.779624576652890200e-01
1.853439915609793388e+04,9.580496437635481755e-01,5.222033139839660221e-01
3.720030908576214642e+03,6.390965723115196173e-01,1.293510874717810122e+00
2.881727200554051706e+03,9.864860378282055420e-01,9.481908424328376883e-01
8.020212637252659988e+03,7.159822706444217699e-01,2.613487578913472609e-01
1.028785521983183753e+04,1.979437449588196118e-01,1.371199823215257796e+00
3.143704265279154788e+04,8.262599578211368145e-01,5.174391535776611262e-01
2.977884123649940011e+04,9.774165948649969904e-01,3.528401136296716728e-02
9.464134859751453405e+03,5.947502376731589324e-01,9.587137402922598639e-01
2.525103704577752433e+04,5.740923391697125844e-01,8.732744748221228370e-01
7.772961658999081010e+03,9.151653963503040279e-01,1.043273600144568602e+00
3.959906187498267627e+03,8.665265606567895684e-01,1.104463056171726354e+00
3.264769434398191515e+04,9.643709549406924708e-01,1.084923452527208010e+00
6.695431272229477145e+03,6.589298997490316001e-01,7.302675304191935668e-01
7.481234683756210870e+03,9.111275297830507824e-01,6.111044997444728955e-01
6.466401948560823257e+03,9.694087972406100207e-01,1.429223728083889311e+00
2.848662081194904204e+03,9.862440605556128670e-01,1.490679414849817919e+00
2.857262488782993842e+03,8.623475603079627794e-01,3.178220826091714413e-01
2.435328830911430123e+04,9.381101522716553953e-01,7.620383810532336266e-01
2.605741825583266291e+03,5.732554105896900953e-01,1.331655474149994633e+00
5.634099390769220918e+03,7.150212482640079248e-01,4.420936443015563988e-01
2.126912506886577467e+04,7.166078374005602214e-01,8.714008577001330913e-01
5.605279274919392265e+03,7.376583225009056832e-01,4.926351999938725079e-01
2.163357828306595911e+04,9.166166119649433730e-01,1.569214981660860708e+00
2.673932078990052560e+03,9.883999304649675466e-01,5.520797346577009934e-01
1.623691303589251038e+04,9.881665824440737378e-01,1.025760385131887498e+00
1.164989130897543509e+04,5.301782963007355409e-01,8.041834441622434104e-01
1.155904104288863164e+04,7.666859575883566702e-02,9.048174221306716503e-02
1.359802735648863199e+04,9.034645672082031176e-01,6.047309270410290427e-01
1.528796192262070144e+04,9.982088101253266954e-01,2.085377291025560798e-01
1.450651443007787202e+04,2.320660730228739643e-01,5.875366895274233281e-01
5.757920049283680783e+03,8.675330677911443633e-01,9.684054809854731882e-01
2.159144301054594689e+04,9.134031907373758585e-01,1.238447417769156234e+00
3.695476880685330798e+03,9.382035016492848989e-01,4.104797936830427707e-01
7.458659244355096234e+03,2.602470036612208881e-01,1.541369094156543884e+00
3.205535524323632217e+03,9.467524160562897917e-01,1.526535008257562165e+00
2.750576310309339988e+03,9.890601235344619324e-01,1.848378625753465676e-01
6.266897866013855491e+03,9.964301872981371488e-01,8.429486929714637145e-02
6.554898994549404961e+03,9.332249166473128854e-01,1.657891998108345089e-01
6.492005886113658562e+03,8.848176930597781986e-01,1.060803572302298381e+00
2.431652752592617253e+04,9.614482160660345889e-01,9.864844319555158281e-01
2.215390466784455930e+04,9.984874683491968828e-01,4.387376143015217500e-02
6.496347209321041191e+03,9.859117628001495826e-01,1.269476167690178903e-01
4.475462932587007344e+03,9.615726352103369790e-01,1.537309606311572097e+00
4.402729289498040998e+03,9.121986624941430533e-01,4.945803324273384538e-01
2.922474396822614654e+04,3.280215337701358758e-01,8.582945989039831858e-01
2.539485708796097697e+03,9.560268597328739348e-01,9.221593365095903660e-01
1.795277800106712675e+04,9.602260274206545487e-01,9.507408996002512103e-01
3.557472027318208802e+03,9.939360097783389580e-01,1.201968786775005626e-01
8.856315163491986823e+03,8.804027712562595420e-01,1.356746073020145271e+00
3.231673095044885486e+04,9.961528076098844497e-01,4.799629862409925812e-02
2.111959511174803993e+04,4.015040172981427791e-01,1.342821955730217454e+00
1.474983833777743348e+04,9.858654859771505130e-01,4.776365606994355528e-01
1.244784062254129276e+04,7.128215823357764158e-01,6.814115689345862092e-01
4.622681221404376629e+03,5.718789279026157413e-01,6.791873339669075860e-02
2.211556440872376697e+04,8.993748056020166581e-01,6.638227300813417386e-01
6.760765136633555812e+03,9.980439737368059783e-01,1.334018905209783723e+00
6.867585614276276829e+03,5.559182076674158424e-01,8.150920573483035891e-01
2.773035353633706563e+03,9.340113748347118605e-01,1.528350650163214697e+00
2.007189982094439983e+04,6.433711747085333332e-01,1.386691121670329041e+00
3.278361884669449410e+03,9.955196804409032207e-01,1.794828944750501976e-01
1.920057061692866409e+04,4.352637043578080345e-01,3.195262622739203362e-01
4.373709030232730584e+03,9.967749418404600048e-01,7.258858092700407605e-01
6.109288884497466825e+03,8.760394170487101340e-01,6.602774499188545088e-01
1.616158073828418674e+04,5.794342183966147974e-01,1.181730291502026686e+00
3.509596749646123044e+03,8.969782047318771712e-01,1.352736746932567957e+00
1.428134287358267102e+04,9.926682136556292946e-01,2.363254015528336305e-01
4.614927098904682680e+03,5.622386042863469768e-02,4.967325455258421174e-01
2.631953671384763220e+04,9.328708941472021454e-01,9.080140733497139571e-01
1.735407781412487748e+04,7.495291065461207047e-01,1.551647568002885391e+00
4.547115932552826052e+03,9.962518564151681133e-01,3.411801615557418788e-01
3.227319760837787908e+04,9.173638252751825650e-01,1.198603150662149508e+00
1.321366130841356789e+04,9.092216825121678392e-01,9.139549284419338226e-01
1.638800124270201559e+04,9.795539474622433351e-01,8.690575820764149251e-01
1.802536247776076925e+04,7.355183679083669990e-01,1.206680080695869073e+00
1.535580415298183834e+04,9.979755850541853768e-01,8.976977600183114747e-01
5.233172655600887992e+03,9.908862709332652008e-01,3.708967464129204195e-01
1.646181130106464479e+04,9.359380021463012955e-01,8.957026886833362456e-01
7.628348955089182709e+03,9.960766934744013090e-01,3.572874376346212022e-02
3.535841604164781529e+03,9.510107837092651728e-01,7.734892087329022781e-01
5.225835422355303308e+03,8.165756912431426651e-01,1.180048573037190351e+00
5.890415041270473012e+03,4.060729103124800510e-01,6.772079803507602414e-01
1.696604426735137167e+04,6.083579189683339106e-01,3.455779837325873571e-01
2.528403241828799219e+04,9.987518957664691666e-01,6.074843263154249273e-01
1.239975595372534735e+04,5.664412774593587940e-01,7.962850371393624949e-01
2.037173309524486467e+04,9.783624280493923298e-01,4.354488390099766071e-01
1.364520135301848131e+04,9.884737385633050044e-01,1.110354742733251410e+00
5.752494977645797917e+03,9.630376755935768918e-01,6.030903662171659407e-01
2.504840981091210415e+04,9.939593181799386556e-01,5.671165112637065187e-03
4.457082107881126831e+03,1.139287376036579591e-01,4.190754410614942471e-01
1.848977716986497762e+04,6.935150800406209015e-01,3.040307354074802126e-01
3.051906245842591034e+03,6.767008864817214420e-02,3.067281049494441914e-01
9.651560649344186459e+03,9.985638489086596792e-01,1.462159650845982206e+00
2.909076747231713671e+04,9.986893122597699790e-01,1.004032235169857401e+00
4.127610829283630665e+03,7.896733491347189826e-01,3.528971692907305613e-01
2.567895153672036031e+03,9.214259382647201901e-01,1.393940295970243604e+00
1.251507409415189431e+04,8.608371904438224531e-01,1.351894180692539527e+00
7.958920560212844066e+03,9.809859573430205204e-01,1.125458245612786401e+00
2.874061742291492465e+03,9.958130143957307778e-01,1.288431367546798878e+00
3.835821599057117055e+03,8.076488076929015936e-01,1.308587116063661057e-02
4.278533477192272585e+03,7.352921595729861037e-01,1.567601557368155429e+00
7.751023297069433283e+03,9.952452697194112963e-01,1.196827034594668548e+00
9.428289112812111853e+03,9.877465305523588368e-01,7.477168228553195961e-01
6.011957176865757901e+03,9.907298700878033326e-01,1.359942775527169134e+00
3.197755350666552113e+04,9.678175901959864547e-01,2.592445134312417188e-01
2.210407355948557597e+04,9.842597984872663019e-01,5.975176366645877923e-01
1.708659337192596286e+04,8.468040924929245428e-01,8.780509930281155118e-01
2.950922851958210686e+03,6.124007876281456486e-01,8.922063906580872394e-02
4.779458430920994033e+03,9.950858195019823826e-01,2.634396999065878320e-01
9.240710766931280887e+03,9.976561498781183479e-01,1.418238938218337797e+00
6.147636458572169431e+03,1.656243229405324202e-01,1.100373895282586778e+00
1.083648203848684170e+04,9.945346274387542040e-01,1.172307577086117325e+00
4.868491501494099793e+03,9.829120892320206693e-01,4.720635284513381991e-01
3.005468180755078265e+03,9.948922877003365528e-01,5.860341048227163396e-01
7.039923196264372564e+03,9.839018691361616220e-01,5.412670931492994386e-01
6.143520684621867986e+03,1.322068959633174723e-01,4.108709847299042012e-02
3.244016190748500230e+04,8.820752863343754857e-01,1.332967618565879198e+00
3.461042383396910736e+03,9.128088348609936231e-01,1.475975967494376206e+00
6.752417559871235426e+03,9.761935839870951037e-01,1.134125330672458576e+00
6.635753972151705057e+03,3.399028528912582114e-01,1.340299565406095073e-01
1.758405987173058020e+04,8.806706115034552695e-01,9.678304204898452445e-01
1.138966410242399070e+04,9.979220987547398058e-01,8.373744912465457269e-01
1.316027144837219748e+04,9.895635823923266683e-01,1.044175057859237254e+00
6.019815047683022385e+03,9.978119242277940781e-01,6.718427797569271887e-01
3.755082330806239952e+03,3.981472970521872101e-01,3.542281216442853542e-01
7.501639076033034144e+03,3.367135708994463128e-01,2.793931537106660312e-01
1.128447322222129151e+04,9.755417634891438983e-01,1.404513323571695782e+00
1.420161324428372427e+04,9.890047295558802576e-01,1.301545256096684922e+00
2.832030327789232615e+04,9.039594835390810657e-01,1.102528176664039572e+00
1.447753471154563158e+04,7.588587929693775269e-01,2.329070114903941946e-01
8.693080934565605276e+03,8.156661580616273444e-01,1.205202787082202187e+00
3.065536490551527095e+03,2.573242976802555537e-01,9.027757367304378722e-01
2.855229493358700347e+04,9.989241438146879704e-01,1.830527109811092706e-03
7.596926668134056854e+03,4.065966883148398603e-01,1.130871257361491189e+00
6.295997931667361627e+03,9.741884613815881000e-01,5.101068519381160016e-01
6.283004323864371145e+03,9.857219334681230904e-01,1.461775852422226851e-01
5.006037766536698655e+03,7.955821988071218875e-01,5.770284057350166806e-01
6.352958332478577177e+03,9.900727647768181594e-01,1.093240174678544285e+00
2.931833795751871003e+04,9.878136826074636057e-01,1.475620104091435625e+00
1.443151130195220321e+04,9.961387066244051791e-01,1.604989096475924470e-01
2.009601082396326092e+04,9.982993929997802107e-01,1.434922400179148960e+00
2.757429009222862078e+04,9.943014775489080748e-01,1.330329918391134791e+00
3.730582981579773787e+03,9.948305176186417187e-01,9.765018672788297049e-01
6.221548196455447396e+03,8.916383928948663495e-01,1.087596754561034329e+00
7.590350703780426556e+03,8.283681498965864698e-01,1.283529078003597945e+00
4.683695488150252459e+03,7.843738189617455170e-01,9.487903272983763125e-01
5.571599974280827155e+03,9.868952322807470479e-01,1.053624978524177580e+00
1.664207901067368584e+04,7.968914026123579131e-01,1.914582589614654551e-01
6.712998292741553996e+03,9.156957305210198239e-01,1.406425993351068993e+00
4.134708785810113113e+03,5.150354653640202285e-01,3.265121380007665608e-01
2.754968645286154697e+03,9.665328585109587145e-01,1.314163533475249723e+00
1.222945771843590592e+04,9.981549512933842738e-01,1.566454168418328630e+00
